Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TIM S A,50409428698,010,48352023,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,5M00G7W,WCDMA,,,2130,1940,20,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,-1,X,48,005231003903,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b010,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,48352023,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,5M00G7W,WCDMA,,,2130,1940,140,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,-1,X,48,005231003903,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b011,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,48352023,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,5M00G7W,WCDMA,,,2130,1940,270,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,0,X,48,005231003903,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b012,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,59632012,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,10M0G7W,LTE,,,2655,2535,140,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,-1,X,48,056691903257,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b013,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,59632012,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,10M0G7W,LTE,,,2655,2535,270,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,0,X,48,056691903257,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b014,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,73902008,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,5M00G7W,WCDMA,,,874.5,829.5,20,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,-1,X,48,009990703903,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b021,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,73902008,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,5M00G7W,WCDMA,,,874.5,829.5,140,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,-1,X,48,009990703903,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b022,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,73902008,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,5M00G7W,WCDMA,,,874.5,829.5,270,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,0,X,48,009990703903,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b023,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,59632012,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,10M0G7W,LTE,,,2655,2535,20,FB,Greenfield,sim,760,064101600762,13.42,28,65.2,-1,X,48,056691903257,40,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,4d5c019f5b024,2023-12-31,,
LIC-LIC-01,CLARO S.A.,50409307637,010,48372023,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,5M00G7W,WCDMA,,,2117.5,1927.5,135,FB,Greenfield,NA,760,,16.6,24,69,0,X,45.2,011060703257,49.1,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d7c,2038-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,48372023,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,5M00G7W,WCDMA,,,2117.5,1927.5,235,FB,Greenfield,NA,760,,16.6,24,69,0,X,45.2,011060703257,49.1,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d7d,2038-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,50502011,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,200KG7W,GSM,,,1875,1780,50,FB,Greenfield,NA,760,,16.6,24,69,-2,X,45.2,023491603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d82,2027-08-25,,
LIC-LIC-01,CLARO S.A.,50409307637,010,50502011,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,200KG7W,GSM,,,1875,1780,135,FB,Greenfield,NA,760,,16.6,24,69,0,X,45.2,023491603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d83,2027-08-25,,
LIC-LIC-01,CLARO S.A.,50409307637,010,50502011,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,200KG7W,GSM,,,1875,1780,235,FB,Greenfield,NA,760,,16.6,24,69,0,X,45.2,023491603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d84,2027-08-25,,
LIC-LIC-01,CLARO S.A.,50409307637,010,50502011,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,10M0G7W,LTE,,,1875,1780,50,FB,Greenfield,NA,760,,16.6,24,69,-2,X,45.2,023491603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d85,2027-08-25,,
LIC-LIC-01,CLARO S.A.,50409307637,010,50502011,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,10M0G7W,LTE,,,1875,1780,135,FB,Greenfield,NA,760,,16.6,24,69,0,X,45.2,023491603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d86,2027-08-25,,
LIC-LIC-01,CLARO S.A.,50409307637,010,50502011,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,10M0G7W,LTE,,,1875,1780,235,FB,Greenfield,NA,760,,16.6,24,69,0,X,45.2,023491603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d87,2027-08-25,,
LIC-LIC-01,CLARO S.A.,50409307637,010,59592012,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,20M0G7W,LTE,,,2640,2520,50,FB,Greenfield,NA,760,,17.9,25,58,-2,X,45.2,018141603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d8b,2027-10-18,,
LIC-LIC-01,CLARO S.A.,50409307637,010,59592012,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,20M0G7W,LTE,,,2640,2520,135,FB,Greenfield,NA,760,,17.9,25,58,0,X,45.2,018141603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d8c,2027-10-18,,
LIC-LIC-01,CLARO S.A.,50409307637,010,59592012,3757862,R INTENDENTE THEODOSIO PAIVA,LOTEAMENTO PLANTA 85 LOTE 22 - ACESSO PELA RUA PROF. JOSINO MACEDO,RN,2408102,20M0G7W,LTE,,,2640,2520,235,FB,Greenfield,NA,760,,17.9,25,58,0,X,45.2,018141603257,40,-5.8075,-35.2252,G,2024-03-13,2001-03-05,,4d5c019f63d8d,2027-10-18,,
